"state","Abb","Postal","Capital","lat","lng"
"Alabama","Ala.","AL","Montgomery",32.7396323,-86.8434593
"Alaska","Alaska","AK","Juneau",63.346191,-152.8370679
"Arizona","Ariz.","AZ","Phoenix",34.2099643,-111.602401
"Arkansas","Ark.","AR","Little Rock",34.8955256,-92.4446262
"California","Calif.","CA","Sacramento",37.148573,-119.5406515
"Colorado","Colo.","CO","Denver",38.9935752,-105.5077737
"Connecticut","Conn.","CT","Hartford",41.5797842,-72.7466666
"Delaware","Del.","DE","Dover",38.9935501,-75.4473739
"District of Columbia","x","DC","x",38.9041485,-77.0170942
"Florida","Fla.","FL","Tallahassee",28.4574302,-82.4091478
"Georgia","Ga.","GA","Atlanta",32.629384,-83.4232125
"Hawaii","Hawaii","HI","Honolulu",19.809767,-155.5061027
"Idaho","Idaho","ID","Boise",44.3020948,-114.5956254
"Illinois","Ill.","IL","Springfield",40.1028754,-89.1526108
"Indiana","Ind.","IN","Indianapolis",39.9030256,-86.2839503
"Iowa","Iowa","IA","Des Moines",42.0700243,-93.4933473
"Kansas","Kans.","KS","Topeka",38.4985464,-98.3834298
"Kentucky","Ky.","KY","Frankfort",37.5336807,-85.2929841
"Louisiana","La.","LA","Baton Rouge",30.8577705,-91.803273
"Maine","Maine","ME","Augusta",45.3906022,-68.6574869
"Maryland","Md.","MD","Annapolis",38.9466584,-76.6744939
"Massachusetts","Mass.","MA","Boston",42.1565196,-71.4895915
"Michigan","Mich.","MI","Lansing",44.8410835,-85.6593197
"Minnesota","Minn.","MN","St. Paul",46.3161343,-94.1994801
"Mississippi","Miss.","MS","Jackson",32.6864655,-89.6561493
"Missouri","Mo.","MO","Jefferson City",38.35075,-92.4567826
"Montana","Mont.","MT","Helena",47.0511771,-109.6348174
"Nebraska","Nebr.","NE","Lincoln",41.5438105,-99.8123253
"Nevada","Nev.","NV","Carson City",39.3310928,-116.6151469
"New Hampshire","N.H.","NH","Concord",43.6708595,-71.5811278
"New Jersey","N.J.","NJ","Trenton",40.1072744,-74.6652012
"New Mexico","N.M.","NM","Santa Fe",34.4391265,-106.1261511
"New York","N.Y.","NY","Albany",42.9133974,-75.5962723
"North Carolina","N.C.","NC","Raleigh",35.53971,-79.1308636
"North Dakota","N.D.","ND","Bismarck",47.4569538,-100.4619304
"Ohio","Ohio","OH","Columbus",40.4149297,-82.7119975
"Oklahoma","Okla.","OK","Oklahoma City",35.5894185,-97.4868683
"Oregon","Ore.","OR","Salem",43.9715225,-120.6226269
"Pennsylvania","Pa.","PA","Harrisburg",40.9042486,-77.8280624
"Rhode Island","R.I.","RI","Providence",41.5978358,-71.5252895
"South Carolina","S.C.","SC","Columbia",33.8741769,-80.8542699
"South Dakota","S.D.","SD","Pierre",44.4467957,-100.2381762
"Tennessee","Tenn.","TN","Nashville",35.8585639,-86.3493573
"Texas","Tex.","TX","Austin",31.4347032,-99.2818238
"Utah","Utah","UT","Salt Lake City",39.3349735,-111.6563633
"Vermont","Vt.","VT","Montpelier",44.0605475,-72.673354
"Virginia","Va.","VA","Richmond",37.5222512,-78.6681938
"Washington","Wash.","WA","Olympia",47.4162296,-120.5996231
"West Virginia","W.Va.","WV","Charleston",38.6472854,-80.6183274
"Wisconsin","Wis.","WI","Madison",44.628484,-89.7119299
"Wyoming","Wyo.","WY","Cheyenne",42.9918024,-107.5419255
"Puerto Rico","x","PR","x",18.217648,-66.4107992
